Czas	Kanał A
(us)	(V)

64.61000495	-0.02044740
64.61200495	-0.01904355
64.61400495	-0.02044740
64.61600495	-0.01770074
64.61800495	-0.01904355
64.62000495	-0.02044740
64.62200495	-0.01904355
64.62400495	-0.02044740
64.62600495	-0.02179022
64.62800495	-0.02447584
64.63000495	-0.02447584
64.63200495	-0.02044740
64.63400495	-0.02179022
64.63600495	-0.02044740
64.63800495	-0.02179022
64.64000495	-0.02179022
64.64200495	-0.02179022
64.64400495	-0.02722251
64.64600495	-0.02313303
64.64800495	-0.02179022
64.65000495	-0.02179022
64.65200495	-0.02044740
64.65400495	-0.02313303
64.65600495	-0.02313303
64.65800495	-0.02587970
64.66000495	-0.02044740
64.66200495	-0.02044740
64.66400495	-0.01904355
64.66600495	-0.02044740
64.66800495	-0.02044740
64.67000495	-0.02179022
64.67200495	-0.02313303
64.67400495	-0.02179022
64.67600495	-0.01904355
64.67800495	-0.02179022
64.68000495	-0.01904355
64.68200495	-0.02179022
64.68400495	-0.01770074
64.68600495	-0.02179022
64.68800495	-0.02313303
64.69000495	-0.01904355
64.69200495	-0.02447584
64.69400495	-0.02447584
64.69600495	-0.02044740
64.69800495	-0.02179022
64.70000495	-0.02044740
64.70200495	-0.02179022
64.70400495	-0.02447584
64.70600495	-0.02044740
64.70800495	-0.01904355
64.71000495	-0.01904355
64.71200495	-0.01770074
64.71400495	-0.02044740
64.71600495	-0.01770074
64.71800495	-0.01904355
64.72000495	-0.02179022
64.72200495	-0.02044740
64.72400495	-0.02447584
64.72600495	-0.02587970
64.72800495	-0.02179022
64.73000495	-0.02587970
64.73200495	-0.02044740
64.73400495	-0.02179022
64.73600495	-0.01904355
64.73800495	-0.02179022
64.74000495	-0.02179022
64.74200495	-0.02447584
64.74400495	-0.02044740
64.74600495	-0.02313303
64.74800495	-0.02313303
64.75000495	-0.02447584
64.75200495	-0.02179022
64.75400495	-0.02313303
64.75600495	-0.02447584
64.75800495	-0.02447584
64.76000495	-0.01904355
64.76200495	-0.01770074
64.76400495	-0.02044740
64.76600495	-0.02313303
64.76800495	-0.02313303
64.77000495	-0.02044740
64.77200495	-0.01904355
64.77400495	-0.02044740
64.77600495	-0.02044740
64.77800495	-0.02313303
64.78000495	-0.02179022
64.78200495	-0.02313303
64.78400495	-0.02587970
64.78600495	-0.02179022
64.78800495	-0.01770074
64.79000495	-0.02447584
64.79200495	-0.02044740
64.79400495	-0.02447584
64.79600495	-0.01904355
64.79800495	-0.01904355
64.80000495	-0.02179022
64.80200495	-0.02179022
64.80400495	-0.01904355
64.80600495	-0.02044740
64.80800495	-0.01904355
64.81000495	-0.02313303
64.81200495	-0.02044740
64.81400495	-0.02587970
64.81600495	-0.02447584
64.81800495	-0.02447584
64.82000495	-0.02044740
64.82200495	-0.02447584
64.82400495	-0.02044740
64.82600495	-0.02313303
64.82800495	-0.02044740
64.83000495	-0.02179022
64.83200495	-0.02587970
64.83400495	-0.02313303
64.83600495	-0.02447584
64.83800495	-0.02722251
64.84000495	-0.02313303
64.84200495	-0.02447584
64.84400495	-0.02044740
64.84600495	-0.02313303
64.84800495	-0.02587970
64.85000495	-0.02587970
64.85200495	-0.02313303
64.85400495	-0.02313303
64.85600495	-0.01770074
64.85800495	-0.02722251
64.86000495	-0.02722251
64.86200495	-0.02447584
64.86400495	-0.02587970
64.86600495	-0.02179022
64.86800495	-0.02313303
64.87000495	-0.02179022
64.87200495	-0.01904355
64.87400495	-0.02447584
64.87600495	-0.02179022
64.87800495	-0.02179022
64.88000495	-0.02313303
64.88200495	-0.02179022
64.88400495	-0.02587970
64.88600495	-0.02447584
64.88800495	-0.02313303
64.89000495	-0.02447584
64.89200495	-0.02447584
64.89400495	-0.02447584
64.89600495	-0.02447584
64.89800495	-0.02447584
64.90000495	-0.02313303
64.90200495	-0.02447584
64.90400495	-0.02044740
64.90600495	-0.02179022
64.90800495	-0.02044740
64.91000495	-0.02044740
64.91200494	-0.02313303
64.91400494	-0.02044740
64.91600494	-0.02044740
64.91800494	-0.02447584
64.92000494	-0.02179022
64.92200494	-0.02722251
64.92400494	-0.02447584
64.92600494	-0.02722251
64.92800494	-0.02447584
64.93000494	-0.02044740
64.93200494	-0.02179022
64.93400494	-0.02313303
64.93600494	-0.01904355
64.93800494	-0.02044740
64.94000494	-0.02179022
64.94200494	-0.02179022
64.94400494	-0.02044740
64.94600494	-0.02044740
64.94800494	-0.01770074
64.95000494	-0.02044740
64.95200494	-0.02044740
64.95400494	-0.02313303
64.95600494	-0.02313303
64.95800494	-0.02044740
64.96000494	-0.02044740
64.96200494	-0.02044740
64.96400494	-0.02044740
64.96600494	-0.02044740
64.96800494	-0.02044740
64.97000494	-0.01770074
64.97200494	-0.01770074
64.97400494	-0.02179022
64.97600494	-0.02179022
64.97800494	-0.02044740
64.98000494	-0.02044740
64.98200494	-0.01904355
64.98400494	-0.01770074
64.98600494	-0.02179022
64.98800494	-0.01635792
64.99000494	-0.01904355
64.99200494	-0.01904355
64.99400494	-0.01904355
64.99600494	-0.01635792
64.99800494	-0.01495407
65.00000494	-0.01770074
65.00200494	-0.02179022
65.00400494	-0.01904355
65.00600494	-0.02044740
65.00800494	-0.01904355
65.01000494	-0.01904355
65.01200494	-0.01770074
65.01400494	-0.01635792
65.01600494	-0.01635792
65.01800494	-0.01495407
65.02000494	-0.01904355
65.02200494	-0.02044740
65.02400494	-0.01904355
65.02600494	-0.01635792
65.02800494	-0.01904355
65.03000494	-0.01904355
65.03200494	-0.01770074
65.03400494	-0.01495407
65.03600494	-0.01770074
65.03800494	-0.02313303
65.04000494	-0.02313303
65.04200494	-0.02044740
65.04400494	-0.01770074
65.04600494	-0.02313303
65.04800494	-0.01770074
65.05000494	-0.02044740
65.05200494	-0.01904355
65.05400494	-0.02044740
65.05600494	-0.01770074
65.05800494	-0.01495407
65.06000494	-0.01770074
65.06200494	-0.02044740
65.06400494	-0.01904355
65.06600494	-0.02044740
65.06800494	-0.02044740
65.07000494	-0.01904355
65.07200494	-0.01904355
65.07400494	-0.01904355
65.07600494	-0.02179022
65.07800494	-0.02313303
65.08000494	-0.01904355
65.08200494	-0.01904355
65.08400494	-0.02313303
65.08600494	-0.02313303
65.08800494	-0.02044740
65.09000494	-0.02179022
65.09200494	-0.02179022
65.09400494	-0.02179022
65.09600494	-0.01635792
65.09800494	-0.02044740
65.10000494	-0.01904355
65.10200494	-0.01904355
65.10400494	-0.02044740
65.10600494	-0.01904355
65.10800494	-0.02313303
65.11000494	-0.02313303
65.11200494	-0.02044740
65.11400494	-0.02179022
65.11600494	-0.02044740
65.11800494	-0.02313303
65.12000494	-0.01635792
65.12200494	-0.01770074
65.12400494	-0.01635792
65.12600494	-0.01770074
65.12800494	-0.01495407
65.13000494	-0.02044740
65.13200494	-0.02044740
